symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
ICP/USDT,short,29.39,27.33789022111324,100.03402517863219,3144.1048012904753,204.10480129047542,253.76071963004676,6.039506093516088,3.773275882820866,止损,1,2022-01-19 00:45:00,4201.68,trend,bearish,2022-01-19 09:00:00,range_bound,
ICP/USDT-layer4,short,28.151799999999998,27.57,2.1029861509945134,60.40268173000572,1.1998362044383761,1.1998362044383761,2.0258425945686693,1.2153979829771329,网格止盈-4,1,2022-01-19 14:45:00,59.22652666377757,grid,bearish,2022-01-19 15:30:00,range_bound,4.0
ICP/USDT,short,27.57,26.717320850733287,109.3257791647165,3106.125899249696,92.0141676784625,148.19068829132473,3.440217690532417,1.6948688648061956,止损,1,2022-01-19 17:15:00,4307.596251805518,trend,bearish,2022-01-19 22:30:00,trending_down,
ICP/USDT,short,26.79,26.79,114.11621587002536,3055.950553788716,-1.2228693692631918,46.67092392019183,1.0681953422438395,0.0,止损,1,2022-01-19 22:45:00,4369.137560753204,trend,bearish,2022-01-20 06:15:00,range_bound,
ICP/USDT-layer3,short,27.134800000000002,26.5972,2.2635781848746044,62.614072266591634,1.192330935656216,1.192330935656216,1.940443510966271,1.6127395340173858,网格止盈-3,1,2022-01-20 06:45:00,61.446310027467796,grid,bearish,2022-01-20 08:15:00,range_bound,3.0
ICP/USDT-layer4,short,26.602600000000002,27.4063,2.340581505369535,60.3595219774562,-1.9060315772873906,-1.9060315772873906,-3.059909308964043,-2.2554598736078213,网格止损-4,1,2022-01-20 07:15:00,62.29045977616549,grid,bearish,2022-01-20 14:00:00,range_bound,4.0
ICP/USDT-layer3,short,27.132,27.9405,2.250206951514641,59.20890164219225,-1.843713366302982,-1.843713366302982,-3.018668693513302,-1.9151773198117434,网格止损-3,1,2022-01-20 13:45:00,61.077036054498635,grid,bearish,2022-01-20 15:00:00,range_bound,3.0
ICP/USDT-layer2,short,27.660600000000002,28.484700000000004,2.1648685536888106,58.073542315823296,-1.8080208003414178,-1.8080208003414178,-3.018120748923923,-1.6945315560780267,网格止损-2,1,2022-01-20 14:15:00,59.90551574141118,grid,bearish,2022-01-20 15:45:00,range_bound,2.0
ICP/USDT-layer1,short,28.21,27.6504,2.0812205697119626,59.852398809476654,1.1411665379021838,1.1411665379021838,1.9429165590056061,0.86271340629378,网格止盈-1,1,2022-01-20 15:30:00,58.734716764483096,grid,bearish,2022-01-20 17:45:00,range_bound,1.0
ICP/USDT,short,24.25,24.25,126.61365235692473,3069.1529172275623,-1.2281524278621698,71.50053825241773,1.6294513122586034,0.0,止损,1,2022-01-21 10:30:00,4388.013174404696,trend,bearish,2022-01-21 13:45:00,trending_down,
ICP/USDT,short,24.5,25.385446175042556,180.22661247124975,4254.204820089855,-161.34718545576342,-161.34718545576342,-3.652604978590426,-1.0000000000000009,止损,1,2022-01-21 15:45:00,4417.3182263478375,trend,bearish,2022-01-21 19:15:00,trending_down,
